"","X","year","schoolcode","Candidates_2013","Passed_2013","Average_Marks_2013","Change_Average_Marks_2013","Band_2013","Rank_2013","Candidates_2014","Passed_2014","Average_Marks_2014","Change_Average_Marks_2014","Band_2014","Rank_2014","Candidates_2012","Passed_2012","Average_Marks_2012","Average_Marks_2011","Change_Average_2012","","Band_2011","Rank_2012","Rank_2011","Candidates_2011","Passed_2011","Schoolname","Identifier","Schoolproject_description","Schoolprojects_Students_Total","Schoolprojects_Boys","Schoolprojects_Girls","Schoolproject_happened","Project_2013","Project_2014","Bonanza_sum","Bonanza_2012","Bonanza_2013","Bonanza_2014","WS1","WS2","WS3","WS4","WS5","WS6","WS7","WS8","WS9","WS10","WS11","WS12","WS13","WS19","WS20","WS21","WS22","WS23","WS24","WS25","WS26","WS27","WS28","WS29","WS30","WS31","WS32","SUM.WORKSHOPS","WS.2010","WS.2011","WS.2012","WS.2013","WS.2014","WS.2015","student_sex_binary","Region","english_grade_numeric","science_grade_numeric","kiswahili_grade_numeric","maarifa_grade_numeric","hisabati_grade_numeric","average_grade_numeric"
"11",11,2013,"P0501031",16,16,186.63,19.23,3,133,15,15,189.8,3.17,3,157,15,15,167.4,192.47,-25.07,4,3,150,101,15,15,"KAGONDO 'A'  ","BIHARAMULOKAGONDO'A'",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Kagera",1,2,2,2,1,1
"12",12,2013,"P0501125",14,14,200.93,39.93,3,57,16,16,191,-9.93,3,142,15,15,161,188.53,-27.53,4,3,220,139,15,15,"KAGONDO 'B'  ","BIHARAMULOKAGONDO'B'",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Kagera",1,2,1,2,1,1
"13",13,2013,"P0501035",52,36,129.62,40.17,6,1856,37,31,140.89,11.27,5,1757,53,22,89.45,139.67,-50.22,7,5,5315,2107,45,35,"KALENGE  ","BIHARAMULOKALENGE",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,"Kagera",4,3,3,3,4,3
"14",14,2013,"P0501167",18,18,178,89.47,4,220,32,26,137.19,-40.81,5,2080,40,8,88.53,194.05,-105.52,7,3,5525,86,22,22,"KALUGUYU  ","BIHARAMULOKALUGUYU",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Kagera",1,2,2,2,3,2
"15",15,2013,"P0501179",32,29,172.47,45.1,4,290,44,33,136.73,-35.74,5,2121,27,20,127.37,100.21,27.16,6,7,786,9530,90,43,"KANIHA  ","BIHARAMULOKANIHA",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Kagera",2,2,2,1,2,2
"16",16,2013,"P0501038",20,9,101.15,20.88,7,7169,20,8,102.85,1.7,7,8389,26,9,80.27,100.71,-20.44,8,7,8206,9413,38,18,"KANYONI  ","BIHARAMULOKANYONI",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,"Kagera",1,2,1,2,2,2
"17",17,2013,"P0501039",45,28,105.8,8.91,6,5945,33,30,150.91,45.13,5,1123,37,16,96.89,124.45,-27.56,7,6,3611,4231,31,23,"KASATO  ","BIHARAMULOKASATO",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,"Kagera",3,2,3,2,3,3
"18",18,2013,"P0501180",33,24,149.85,41.62,5,777,39,20,107.62,-42.14,6,7030,30,20,108.23,125.14,-16.91,6,6,1925,4111,36,27,"KASILO  ","BIHARAMULOKASILO",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Kagera",1,2,1,1,1,1
"19",19,2013,"P0501041",17,16,183.88,63.81,3,163,28,26,174.57,-9.31,4,418,46,27,120.07,113.14,6.93,6,6,1066,6548,29,20,"KASOZIBAKAYA 'A'  ","BIHARAMULOKASOZIBAKAYA'A'",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Kagera",2,2,1,1,2,2
"20",20,2013,"P0501130",15,15,168.67,107.29,4,343,29,29,195.76,27.09,3,108,47,0,61.38,113.79,-52.41,8,6,14174,6400,24,16,"KASOZIBAKAYA 'B'  ","BIHARAMULOKASOZIBAKAYA'B'",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Kagera",1,2,3,3,3,2
"21",21,2013,"P0501042",23,20,151.52,47.79,5,736,20,20,140.95,-10.57,5,1754,26,14,103.73,184.56,-80.83,7,3,2450,186,25,24,"KASUNO  ","BIHARAMULOKASUNO",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,"Kagera",3,3,2,1,3,3
"22",22,2013,"P0501043",28,27,147.82,43.6,5,844,26,26,181.42,33.6,3,293,27,18,104.22,112.46,-8.24,7,6,2381,6710,26,16,"KATAHOKA  ","BIHARAMULOKATAHOKA",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Kagera",3,3,2,2,2,2
"23",23,2013,"P0501109",21,20,153.14,51.84,5,684,28,27,180.68,27.54,3,306,30,15,101.3,137.83,-36.53,7,5,2821,2286,23,20,"KATERELA  ","BIHARAMULOKATERELA",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,"Kagera",3,3,3,2,4,3
"24",24,2013,"P0501047",73,69,140.37,37.96,5,1142,45,45,171.38,31.01,4,481,64,38,102.41,174.39,-71.98,7,4,2637,353,41,41,"KATOKE  ","BIHARAMULOKATOKE",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,"Kagera",3,3,3,3,3,3
"25",25,2013,"P0501190",13,11,116.31,NA,6,3663,16,16,167.44,51.13,4,570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KIBALE  ","BIHARAMULOKIBALE",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Kagera",3,4,2,2,3,3
"26",26,2013,"P0501050",71,62,140.39,47.17,5,1141,89,82,143,2.61,5,1606,105,38,93.22,151.77,-58.55,7,5,4412,1140,52,47,"KIKOMAKOMA  ","BIHARAMULOKIKOMAKOMA",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Kagera",2,2,2,2,2,2
"27",27,2013,"P0501136",15,10,110,9.3,6,4941,21,11,104.67,-5.33,7,7872,23,13,100.7,110.24,-9.54,7,6,2930,7227,17,9,"KIRURUMA 'B'  ","BIHARAMULOKIRURUMA'B'","construction of one classroom",NA,NA,NA,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,"Kagera",4,5,5,4,4,4
"28",28,2013,"P0501051",16,12,121.69,32.5,6,2733,20,10,107.65,-14.04,6,7022,21,8,89.19,110.38,-21.19,7,6,5374,7196,16,9,"KIRURUMA'A'  ","BIHARAMULOKIRURUMA'A'","construction of one classroom",NA,NA,NA,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,"Kagera",3,2,2,3,2,2
"29",29,2013,"P0501177",31,25,148.32,33.79,5,827,29,26,179.76,31.44,4,327,38,20,114.53,143.27,-28.74,6,5,1360,1748,26,20,"KISENGA  ","BIHARAMULOKISENGA",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Kagera",2,3,2,3,3,3
"30",30,2013,"P0501163",31,25,116.03,22.06,6,3719,17,17,175.53,59.5,4,400,30,11,93.97,113.35,-19.38,7,6,4226,6503,23,14,"KISUMA  ","BIHARAMULOKISUMA",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Kagera",3,3,3,3,4,3
"31",31,2013,"P0501169",23,21,140.87,40.29,5,1121,27,27,158.85,17.98,4,792,19,10,100.58,133.13,-32.55,7,5,2952,2899,8,7,"KITWECHEMBOGO  ","BIHARAMULOKITWECHEMBOGO",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Kagera",3,3,2,2,3,3
"32",32,2013,"P0501053",70,56,125.97,-2.03,6,2198,58,49,169.98,44.01,4,515,66,47,128,158.65,-30.65,6,4,761,791,72,61,"LUSAHUNGA  ","BIHARAMULOLUSAHUNGA",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,"Kagera",4,5,4,4,4,4
"33",33,2013,"P0501170",39,37,149.31,20.91,5,795,64,56,114.36,-34.95,6,5456,40,36,128.4,145.28,-16.88,6,5,751,1572,32,30,"MAENDELEO  ","BIHARAMULOMAENDELEO",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,1,"Kagera",3,3,2,2,4,3
"34",34,2013,"P0501056",26,16,113.81,-31.97,6,4113,27,26,172.41,58.6,4,464,36,33,145.78,131.27,14.51,5,5,390,3157,30,26,"MAVOTA 'A'  ","BIHARAMULOMAVOTA'A'",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Kagera",2,3,2,3,2,2
"35",35,2013,"P0501139",19,14,132.21,-6,5,1666,25,23,181.12,48.91,3,297,33,26,138.21,108.11,30.1,5,6,534,7704,28,17,"MAVOTA 'B'  ","BIHARAMULOMAVOTA'B'",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Kagera",1,3,2,3,3,2
"36",36,2013,"P0501171",30,25,142.07,25.03,5,1075,37,36,157.41,15.34,4,845,23,15,117.04,124.72,-7.68,6,6,1221,4170,43,27,"MBINDI  ","BIHARAMULOMBINDI",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Kagera",3,3,3,3,3,3
"37",37,2013,"P0501181",21,18,126.71,44.17,6,2120,43,40,144.86,18.15,5,1491,28,7,82.54,110,-27.46,7,6,7411,7271,33,17,"MIGANGO  ","BIHARAMULOMIGANGO",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Kagera",4,3,3,2,4,3
"38",38,2013,"P0501058",22,19,145.45,62.33,5,939,17,15,147.47,2.02,5,1307,25,5,83.12,102.36,-19.24,7,7,7191,9054,25,14,"MIHONGORA  ","BIHARAMULOMIHONGORA",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,"Kagera",2,2,2,2,3,2
"39",39,2013,"P0501182",43,43,194.53,32.47,3,85,42,42,175.26,-19.27,4,409,47,47,162.06,181.67,-19.61,4,3,207,233,27,26,"MINZANI  ","BIHARAMULOMINZANI",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,"Kagera",2,2,2,2,2,2
"40",40,2013,"P0501096",56,54,149.09,42.01,5,801,62,58,133.21,-15.88,5,2478,64,39,107.08,146.88,-39.8,6,5,2042,1458,43,42,"MLIMANI  ","BIHARAMULOMLIMANI",NA,NA,NA,NA,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,"Kagera",4,4,4,4,4,4
"41",41,2013,"P0501189",42,39,161.26,NA,4,479,16,14,128.19,-33.07,6,3022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MPAGO  ","BIHARAMULOMPAGO",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Kagera",1,1,2,2,1,1
"42",42,2013,"P0501178",32,25,146.28,37.72,5,908,35,33,147.51,1.23,5,1305,43,26,108.56,150.55,-41.99,6,5,1887,1208,49,37,"MSALABANI  ","BIHARAMULOMSALABANI",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Kagera",5,4,3,4,4,4
"43",43,2013,"P0501183",28,19,140.21,19.06,5,1155,43,30,136.74,-3.47,5,2116,26,19,121.15,121.82,-0.67,6,6,1010,4727,44,27,"MUGERA  ","BIHARAMULOMUGERA",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Kagera",2,3,2,3,2,3
"44",44,2013,"P0501172",36,34,149.89,38.01,5,776,34,28,127.26,-22.63,6,3140,32,21,111.88,139.94,-28.06,6,5,1561,2082,17,15,"MUSENYI  ","BIHARAMULOMUSENYI",NA,NA,NA,NA,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,"Kagera",3,4,3,3,2,3
"45",45,2013,"P0501184",21,19,145,60.04,5,958,21,19,157.95,13,4,825,23,7,84.96,117.19,-32.23,7,6,6583,5676,16,8,"MWANGA  ","BIHARAMULOMWANGA",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Kagera",3,3,3,2,2,3
"46",46,2013,"P0501173",52,51,181.65,42.8,3,184,66,62,154.77,-26.88,5,940,54,47,138.85,184.45,-45.6,5,3,522,188,42,42,"NEMBA  ","BIHARAMULONEMBA",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Kagera",1,1,1,1,1,1
"47",47,2013,"P0501079",14,9,131.93,37.25,5,1682,26,20,122.81,-9.12,6,3783,22,12,94.68,114.88,-20.2,7,6,4059,6175,17,12,"NTUMAGU 'A'  ","BIHARAMULONTUMAGU'A'",NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,"Kagera",4,5,2,5,4,4
"48",48,2013,"P0501150",15,8,109.47,6.2,6,5055,41,31,131.63,22.16,5,2645,22,13,103.27,113.29,-10.02,7,6,2517,6514,17,13,"NTUMAGU 'B'  ","BIHARAMULONTUMAGU'B'",NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,"Kagera",5,5,4,4,4,4
"49",49,2013,"P0501080",27,19,110.48,11.91,6,4826,35,20,100.46,-10.02,7,9091,23,12,98.57,117.59,-19.02,7,6,3295,5599,34,22,"NTUNGAMO  ","BIHARAMULONTUNGAMO",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,"Kagera",5,4,5,5,4,5
"50",50,2013,"P0501100",22,19,157.09,45.95,4,587,15,15,150.53,-6.56,5,1142,22,15,111.14,164.6,-53.46,6,4,1616,585,20,17,"NYABUGOMBE   ","BIHARAMULONYABUGOMBE",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,"Kagera",3,4,3,3,3,3
"51",51,2013,"P0501067",25,19,140.28,64.04,5,1149,28,22,114.18,-26.1,6,5503,38,7,76.24,150.38,-74.14,8,5,9661,1217,21,18,"NYABUSOZI 'A'  ","BIHARAMULONYABUSOZI'A'",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Kagera",3,1,1,2,1,2
"52",52,2013,"P0501144",27,20,126.74,49.79,6,2116,26,22,120.58,-6.16,6,4147,38,8,76.95,102.95,-26,8,7,9435,8908,20,11,"NYABUSOZI 'B'  ","BIHARAMULONYABUSOZI'B'",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Kagera",1,1,2,1,2,2
"53",53,2013,"P0501068",16,15,130.94,20.27,5,1748,23,20,139.7,8.76,5,1858,27,17,110.67,146.57,-35.9,6,5,1660,1481,23,20,"NYAKAHURA  ","BIHARAMULONYAKAHURA",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,"Kagera",4,3,2,2,3,3
"54",54,2013,"P0501174",121,102,129.22,14.64,6,1887,91,91,154.07,24.85,5,972,106,67,114.58,142.38,-27.8,6,5,1355,1836,101,87,"NYAKANAZI  ","BIHARAMULONYAKANAZI",NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,"Kagera",3,4,3,4,4,3
"55",55,2013,"P0501104",89,80,134.47,23.31,5,1493,86,83,144.31,9.84,5,1522,85,51,111.16,147.33,-36.17,6,5,1611,1418,61,61,"NYAKATUNTU  ","BIHARAMULONYAKATUNTU",NA,NA,NA,NA,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,"Kagera",2,2,1,2,2,2
"56",56,2013,"P0501185",33,22,126.91,40.73,6,2104,33,19,120.21,-6.7,6,4214,49,18,86.18,152.9,-66.72,7,5,6211,1062,42,39,"NYAKAYENZE  ","BIHARAMULONYAKAYENZE",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Kagera",2,3,2,3,1,2
"57",57,2013,"P0501070",32,16,102,-14.35,7,6935,30,26,126.67,24.67,6,3222,20,17,116.35,110.8,5.55,6,6,1257,7104,49,29,"NYAMAHANGA  ","BIHARAMULONYAMAHANGA",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Kagera",4,3,2,3,4,3
"58",58,2013,"P0501175",25,17,124.72,33.78,6,2355,25,25,170.64,45.92,4,500,34,14,90.94,100.48,-9.54,7,7,4945,9470,29,11,"NYAMAHUNA  ","BIHARAMULONYAMAHUNA",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Kagera",2,2,2,2,2,2
